,actinolite,albite,andalusite,chloroapatite,chromite,diopside,dolomite,enstatite,fayalite,forsterite,grossular,kaersutite,leucite,muscovite,orthoclase,pargasite,perovskite,quartz,richterite,rutile,sodalite,titanite,tschermakite,zircon
actinolite,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
albite,0,323,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
andalusite,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chloroapatite,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chromite,0,0,2,0,319,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
diopside,538,0,0,0,0,858,0,5,9,0,0,28,0,0,0,5,0,0,5,0,0,0,0,0
dolomite,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enstatite,675,0,0,0,0,2,0,618,0,1,0,0,0,0,0,0,0,0,26,0,0,0,0,0
fayalite,54,0,0,0,0,0,0,0,51,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
forsterite,94,0,0,0,0,1,0,6,0,1200,1,0,0,0,0,0,0,0,0,0,0,0,0,0
grossular,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
kaersutite,2,0,0,0,0,0,0,0,1,3,0,22,0,0,0,0,0,0,0,0,0,0,1,0
leucite,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,7,0,0,0
muscovite,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,1,0,0,0,0,2,0,0
orthoclase,0,8,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0
pargasite,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,1,0
perovskite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0
quartz,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0
richterite,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
rutile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0
sodalite,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,28,0,0,0
titanite,0,0,2,3,0,0,0,0,7,0,1,0,5,0,0,0,0,0,0,0,0,340,1,0
tschermakite,5,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
zircon,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,243
